
############## bjorn - 07/26/20 08:33:33 EST -0500 ##############

2020-07-26 10:47:11 64 bytes from 8.8.8.8: icmp_seq=83 ttl=115 time=19.5 ms
2020-07-26 10:48:11 64 bytes from 8.8.8.8: icmp_seq=84 ttl=115 time=16.9 ms
2020-07-26 10:49:11 64 bytes from 8.8.8.8: icmp_seq=85 ttl=115 time=22.4 ms
2020-07-26 10:50:11 64 bytes from 8.8.8.8: icmp_seq=86 ttl=115 time=16.2 ms
2020-07-26 10:51:11 64 bytes from 8.8.8.8: icmp_seq=87 ttl=115 time=18.0 ms
2020-07-26 10:52:11 64 bytes from 8.8.8.8: icmp_seq=88 ttl=115 time=17.3 ms
2020-07-26 10:53:11 64 bytes from 8.8.8.8: icmp_seq=89 ttl=115 time=21.0 ms
2020-07-26 10:54:11 64 bytes from 8.8.8.8: icmp_seq=90 ttl=115 time=29.4 ms
2020-07-26 10:55:11 64 bytes from 8.8.8.8: icmp_seq=91 ttl=115 time=118 ms
2020-07-26 10:56:11 64 bytes from 8.8.8.8: icmp_seq=92 ttl=115 time=31.2 ms
2020-07-26 10:57:11 64 bytes from 8.8.8.8: icmp_seq=93 ttl=115 time=19.2 ms
2020-07-26 10:58:11 64 bytes from 8.8.8.8: icmp_seq=94 ttl=115 time=24.0 ms
2020-07-26 10:59:12 64 bytes from 8.8.8.8: icmp_seq=95 ttl=115 time=82.0 ms
2020-07-26 11:00:12 64 bytes from 8.8.8.8: icmp_seq=96 ttl=115 time=83.0 ms
2020-07-26 11:01:12 64 bytes from 8.8.8.8: icmp_seq=97 ttl=115 time=31.6 ms
2020-07-26 11:02:12 64 bytes from 8.8.8.8: icmp_seq=98 ttl=115 time=18.9 ms
2020-07-26 11:03:12 64 bytes from 8.8.8.8: icmp_seq=99 ttl=115 time=24.9 ms
2020-07-26 11:04:12 64 bytes from 8.8.8.8: icmp_seq=100 ttl=115 time=18.7 ms
2020-07-26 11:05:12 64 bytes from 8.8.8.8: icmp_seq=101 ttl=115 time=17.1 ms
2020-07-26 11:06:12 64 bytes from 8.8.8.8: icmp_seq=102 ttl=115 time=15.1 ms
2020-07-26 11:07:12 64 bytes from 8.8.8.8: icmp_seq=103 ttl=115 time=19.9 ms
2020-07-26 11:08:12 64 bytes from 8.8.8.8: icmp_seq=104 ttl=115 time=17.1 ms
2020-07-26 11:09:12 64 bytes from 8.8.8.8: icmp_seq=105 ttl=115 time=16.5 ms
2020-07-26 11:10:12 64 bytes from 8.8.8.8: icmp_seq=106 ttl=115 time=22.4 ms
2020-07-26 11:11:12 64 bytes from 8.8.8.8: icmp_seq=107 ttl=115 time=17.4 ms
2020-07-26 11:12:12 64 bytes from 8.8.8.8: icmp_seq=108 ttl=115 time=17.0 ms
2020-07-26 11:13:12 64 bytes from 8.8.8.8: icmp_seq=109 ttl=115 time=17.3 ms
2020-07-26 11:14:12 64 bytes from 8.8.8.8: icmp_seq=110 ttl=115 time=17.9 ms
2020-07-26 11:15:12 64 bytes from 8.8.8.8: icmp_seq=111 ttl=115 time=16.1 ms
2020-07-26 11:16:12 64 bytes from 8.8.8.8: icmp_seq=112 ttl=115 time=17.2 ms
2020-07-26 11:17:13 64 bytes from 8.8.8.8: icmp_seq=113 ttl=115 time=17.7 ms
2020-07-26 11:18:13 64 bytes from 8.8.8.8: icmp_seq=114 ttl=115 time=17.2 ms
2020-07-26 11:19:13 64 bytes from 8.8.8.8: icmp_seq=115 ttl=115 time=18.2 ms
2020-07-26 11:20:13 64 bytes from 8.8.8.8: icmp_seq=116 ttl=115 time=34.6 ms
2020-07-26 11:21:13 64 bytes from 8.8.8.8: icmp_seq=117 ttl=115 time=19.6 ms
2020-07-26 11:22:13 64 bytes from 8.8.8.8: icmp_seq=118 ttl=115 time=19.0 ms
2020-07-26 11:23:13 64 bytes from 8.8.8.8: icmp_seq=119 ttl=115 time=16.9 ms
2020-07-26 11:24:13 64 bytes from 8.8.8.8: icmp_seq=120 ttl=115 time=16.4 ms
2020-07-26 11:25:13 64 bytes from 8.8.8.8: icmp_seq=121 ttl=115 time=19.9 ms
2020-07-26 11:26:13 64 bytes from 8.8.8.8: icmp_seq=122 ttl=115 time=17.4 ms
2020-07-26 11:27:13 64 bytes from 8.8.8.8: icmp_seq=123 ttl=115 time=16.5 ms
2020-07-26 11:28:13 64 bytes from 8.8.8.8: icmp_seq=124 ttl=115 time=16.8 ms
2020-07-26 11:29:13 64 bytes from 8.8.8.8: icmp_seq=125 ttl=115 time=22.2 ms
2020-07-26 11:30:13 64 bytes from 8.8.8.8: icmp_seq=126 ttl=115 time=18.3 ms
2020-07-26 11:31:13 64 bytes from 8.8.8.8: icmp_seq=127 ttl=115 time=75.9 ms
2020-07-26 11:32:13 64 bytes from 8.8.8.8: icmp_seq=128 ttl=115 time=16.0 ms
2020-07-26 11:33:13 64 bytes from 8.8.8.8: icmp_seq=129 ttl=115 time=16.7 ms
2020-07-26 11:34:13 64 bytes from 8.8.8.8: icmp_seq=130 ttl=115 time=17.1 ms
2020-07-26 11:35:13 64 bytes from 8.8.8.8: icmp_seq=131 ttl=115 time=16.1 ms
2020-07-26 11:36:14 64 bytes from 8.8.8.8: icmp_seq=132 ttl=115 time=16.7 ms
2020-07-26 11:37:14 64 bytes from 8.8.8.8: icmp_seq=133 ttl=115 time=17.4 ms
2020-07-26 11:38:14 64 bytes from 8.8.8.8: icmp_seq=134 ttl=115 time=17.0 ms
2020-07-26 11:39:14 64 bytes from 8.8.8.8: icmp_seq=135 ttl=115 time=23.9 ms
2020-07-26 11:40:14 64 bytes from 8.8.8.8: icmp_seq=136 ttl=115 time=18.8 ms
2020-07-26 11:41:14 64 bytes from 8.8.8.8: icmp_seq=137 ttl=115 time=18.6 ms
2020-07-26 11:42:14 64 bytes from 8.8.8.8: icmp_seq=138 ttl=115 time=18.5 ms
2020-07-26 11:43:14 64 bytes from 8.8.8.8: icmp_seq=139 ttl=115 time=16.6 ms
2020-07-26 11:44:14 64 bytes from 8.8.8.8: icmp_seq=140 ttl=115 time=17.2 ms
2020-07-26 11:45:14 64 bytes from 8.8.8.8: icmp_seq=141 ttl=115 time=16.8 ms
2020-07-26 11:46:14 64 bytes from 8.8.8.8: icmp_seq=142 ttl=115 time=20.8 ms
2020-07-26 11:47:14 64 bytes from 8.8.8.8: icmp_seq=143 ttl=115 time=16.8 ms
2020-07-26 11:48:14 64 bytes from 8.8.8.8: icmp_seq=144 ttl=115 time=16.6 ms
2020-07-26 11:49:14 64 bytes from 8.8.8.8: icmp_seq=145 ttl=115 time=16.5 ms
2020-07-26 11:50:14 64 bytes from 8.8.8.8: icmp_seq=146 ttl=115 time=17.2 ms
2020-07-26 11:51:14 64 bytes from 8.8.8.8: icmp_seq=147 ttl=115 time=23.8 ms
2020-07-26 11:52:14 64 bytes from 8.8.8.8: icmp_seq=148 ttl=115 time=15.5 ms
2020-07-26 11:53:14 64 bytes from 8.8.8.8: icmp_seq=149 ttl=115 time=16.6 ms
2020-07-26 11:54:15 64 bytes from 8.8.8.8: icmp_seq=150 ttl=115 time=18.7 ms
2020-07-26 11:55:15 64 bytes from 8.8.8.8: icmp_seq=151 ttl=115 time=32.4 ms
2020-07-26 11:56:15 64 bytes from 8.8.8.8: icmp_seq=152 ttl=115 time=68.1 ms
2020-07-26 11:57:15 64 bytes from 8.8.8.8: icmp_seq=153 ttl=115 time=69.6 ms
2020-07-26 11:58:15 64 bytes from 8.8.8.8: icmp_seq=154 ttl=115 time=70.5 ms
2020-07-26 11:59:15 64 bytes from 8.8.8.8: icmp_seq=155 ttl=115 time=23.0 ms
2020-07-26 12:00:15 64 bytes from 8.8.8.8: icmp_seq=156 ttl=115 time=16.9 ms
2020-07-26 12:01:15 64 bytes from 8.8.8.8: icmp_seq=157 ttl=115 time=17.5 ms
2020-07-26 12:02:15 64 bytes from 8.8.8.8: icmp_seq=158 ttl=115 time=22.9 ms
2020-07-26 12:03:15 64 bytes from 8.8.8.8: icmp_seq=159 ttl=115 time=16.9 ms
2020-07-26 12:04:15 64 bytes from 8.8.8.8: icmp_seq=160 ttl=115 time=16.3 ms
2020-07-26 12:05:15 64 bytes from 8.8.8.8: icmp_seq=161 ttl=115 time=17.5 ms
2020-07-26 12:06:15 64 bytes from 8.8.8.8: icmp_seq=162 ttl=115 time=15.6 ms
2020-07-26 12:07:15 64 bytes from 8.8.8.8: icmp_seq=163 ttl=115 time=18.3 ms
2020-07-26 12:08:15 64 bytes from 8.8.8.8: icmp_seq=164 ttl=115 time=17.4 ms
2020-07-26 12:09:15 64 bytes from 8.8.8.8: icmp_seq=165 ttl=115 time=18.0 ms
2020-07-26 12:10:15 64 bytes from 8.8.8.8: icmp_seq=166 ttl=115 time=17.4 ms
2020-07-26 12:11:15 64 bytes from 8.8.8.8: icmp_seq=167 ttl=115 time=17.1 ms
2020-07-26 12:12:16 64 bytes from 8.8.8.8: icmp_seq=168 ttl=115 time=18.9 ms
2020-07-26 12:13:16 64 bytes from 8.8.8.8: icmp_seq=169 ttl=115 time=26.4 ms
2020-07-26 12:14:16 64 bytes from 8.8.8.8: icmp_seq=170 ttl=115 time=16.7 ms
2020-07-26 12:15:16 64 bytes from 8.8.8.8: icmp_seq=171 ttl=115 time=17.3 ms
2020-07-26 12:16:16 64 bytes from 8.8.8.8: icmp_seq=172 ttl=115 time=16.3 ms
2020-07-26 12:17:16 64 bytes from 8.8.8.8: icmp_seq=173 ttl=115 time=17.1 ms
2020-07-26 12:18:16 64 bytes from 8.8.8.8: icmp_seq=174 ttl=115 time=17.2 ms
2020-07-26 12:19:16 64 bytes from 8.8.8.8: icmp_seq=175 ttl=115 time=16.5 ms
2020-07-26 12:20:16 64 bytes from 8.8.8.8: icmp_seq=176 ttl=115 time=18.9 ms
2020-07-26 12:21:16 64 bytes from 8.8.8.8: icmp_seq=177 ttl=115 time=16.6 ms
2020-07-26 12:22:16 64 bytes from 8.8.8.8: icmp_seq=178 ttl=115 time=17.2 ms
2020-07-26 12:23:16 64 bytes from 8.8.8.8: icmp_seq=179 ttl=115 time=21.4 ms
2020-07-26 12:24:16 64 bytes from 8.8.8.8: icmp_seq=180 ttl=115 time=16.4 ms
2020-07-26 12:25:16 64 bytes from 8.8.8.8: icmp_seq=181 ttl=115 time=18.2 ms
2020-07-26 12:26:16 64 bytes from 8.8.8.8: icmp_seq=182 ttl=115 time=16.1 ms
2020-07-26 12:27:16 64 bytes from 8.8.8.8: icmp_seq=183 ttl=115 time=17.7 ms
2020-07-26 12:28:16 64 bytes from 8.8.8.8: icmp_seq=184 ttl=115 time=16.7 ms
2020-07-26 12:29:16 64 bytes from 8.8.8.8: icmp_seq=185 ttl=115 time=17.9 ms
2020-07-26 12:30:16 64 bytes from 8.8.8.8: icmp_seq=186 ttl=115 time=17.0 ms
2020-07-26 12:31:16 64 bytes from 8.8.8.8: icmp_seq=187 ttl=115 time=18.1 ms
2020-07-26 12:32:17 64 bytes from 8.8.8.8: icmp_seq=188 ttl=115 time=17.0 ms
2020-07-26 12:33:17 64 bytes from 8.8.8.8: icmp_seq=189 ttl=115 time=21.4 ms
2020-07-26 12:34:17 64 bytes from 8.8.8.8: icmp_seq=190 ttl=115 time=18.7 ms
